Draw Call #, GPU Time (ns), Frame Buffer Bottleneck, Frame Buffer Utilized, Geometry Unit Bottleneck, Geometry Unit Utilized, Input Assembly Bottleneck, Input Assembly Utilized, Primitive Count, Raster Operations Bottleneck, Raster Operations Utilized, Shader Bottleneck, Shader Utilized, Texture Bottleneck, Texture Utilized, Shaded Pixel Count, Vertex Instruction %, Geometry Instruction %, Pixel Instruction %
3007, 9478, 5.90%, 1.35%, 30.48%, 41.10%, 2.00%, 21.01%, 300, 0.00%, 0.00%, 1.41%, 48.83%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
3008, 128029, 12.48%, 5.15%, 13.49%, 12.59%, 10.00%, 6.20%, 2260, 4.18%, 5.17%, 82.68%, 99.38%, 22.08%, 22.56%, 45376, 2.84%, 0.00%, 97.16%
3009, 40504, 9.08%, 5.00%, 49.29%, 52.37%, 27.45%, 26.91%, 2603, 3.05%, 3.10%, 74.38%, 74.82%, 2.21%, 2.16%, 3968, 24.69%, 0.00%, 75.31%
3010, 4900, 3.42%, 0.00%, 1.01%, 1.01%, 4.05%, 0.00%, 2, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
3011, 7504, 3.37%, 1.01%, 12.11%, 12.14%, 7.06%, 6.04%, 144, 1.01%, 0.00%, 1.07%, 33.42%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
3012, 15550, 4.48%, 0.00%, 2.00%, 2.02%, 1.01%, 1.01%, 25, 0.00%, 0.00%, 0.00%, 24.56%, 0.00%, 0.00%, 1888, 0.00%, 0.00%, 100.00%
3013, 14732, 3.41%, 0.00%, 11.09%, 11.00%, 7.05%, 6.06%, 271, 1.00%, 0.00%, 0.00%, 16.20%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
3014, 14503, 3.38%, 0.00%, 5.06%, 5.04%, 3.04%, 2.02%, 124, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
3015, 6704, 3.06%, 0.00%, 4.03%, 4.00%, 2.03%, 2.05%, 31, 0.00%, 0.00%, 1.07%, 35.84%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
3016, 6334, 4.54%, 1.00%, 23.42%, 23.26%, 17.06%, 14.02%, 136, 0.00%, 0.00%, 45.78%, 46.06%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
3017, 4674, 3.35%, 0.00%, 1.00%, 1.00%, 3.00%, 1.01%, 16, 0.00%, 0.00%, 0.00%, 46.18%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
3018, 4970, 3.36%, 1.00%, 6.05%, 6.11%, 3.03%, 3.01%, 56, 1.01%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
3019, 4794, 3.34%, 0.00%, 3.00%, 3.04%, 6.33%, 1.02%, 23, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
3020, 90333, 13.59%, 5.14%, 5.09%, 8.00%, 5.09%, 4.09%, 1221, 3.09%, 4.07%, 79.47%, 98.13%, 21.55%, 21.66%, 32800, 2.48%, 0.00%, 97.52%
3021, 79880, 10.59%, 7.36%, 35.96%, 34.02%, 25.30%, 16.00%, 3072, 3.23%, 5.21%, 72.35%, 100.95%, 9.83%, 9.59%, 15328, 9.12%, 0.00%, 90.88%
3022, 33874, 9.65%, 4.47%, 11.90%, 10.79%, 6.33%, 5.53%, 366, 2.00%, 3.03%, 46.24%, 98.15%, 9.74%, 8.86%, 7616, 3.50%, 0.00%, 96.50%
3023, 19313, 4.59%, 0.00%, 2.09%, 2.13%, 1.00%, 1.01%, 40, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 240, -1.#J%, -1.#J%, -1.#J%
3024, 18129, 5.39%, 1.13%, 3.06%, 3.09%, 1.01%, 2.02%, 66, 1.12%, 1.00%, 1.10%, 56.26%, 4.88%, 4.16%, 2080, 0.00%, 0.00%, 100.00%
3025, 16959, 3.44%, 1.07%, 7.00%, 7.21%, 4.06%, 4.36%, 205, 0.00%, 0.00%, 1.07%, 41.33%, 1.04%, 1.11%, 272, 19.45%, 0.00%, 80.55%
3026, 6364, 3.37%, 2.00%, 18.06%, 19.40%, 11.22%, 9.04%, 182, 2.04%, 1.01%, 7.42%, 36.44%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
3027, 21818, 4.53%, 0.00%, 0.00%, 0.00%, 1.01%, 0.00%, 8, 0.00%, 0.00%, 0.00%, 10.92%, 0.00%, 0.00%, 688, 0.00%, 0.00%, 100.00%
3028, 55057, 9.23%, 6.19%, 46.31%, 50.77%, 37.00%, 25.10%, 3161, 3.19%, 4.17%, 87.44%, 91.96%, 6.79%, 6.93%, 10064, 19.04%, 0.00%, 80.96%
3029, 16674, 5.52%, 4.35%, 35.00%, 39.03%, 33.42%, 21.19%, 797, 3.34%, 2.18%, 19.15%, 52.60%, 0.00%, 0.00%, 5824, 100.00%, 0.00%, 0.00%
3030, 9923, 5.68%, 3.07%, 43.70%, 51.84%, 30.00%, 26.90%, 593, 1.03%, 0.00%, 55.00%, 58.96%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
3031, 4542, 3.39%, 0.00%, 2.01%, 2.00%, 7.30%, 1.01%, 10, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
3032, 10181, 5.63%, 3.00%, 56.73%, 56.45%, 33.33%, 29.36%, 654, 0.00%, 0.00%, 50.59%, 52.79%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
3033, 18133, 5.61%, 3.02%, 49.44%, 48.10%, 32.21%, 25.23%, 1234, 0.00%, 1.01%, 49.42%, 80.68%, 0.00%, 0.00%, 504, 41.37%, 0.00%, 58.63%
3034, 21794, 8.31%, 2.03%, 3.05%, 2.00%, 1.01%, 1.10%, 52, 2.00%, 2.12%, 1.11%, 64.15%, 4.41%, 4.38%, 2112, 0.00%, 0.00%, 100.00%
3035, 16986, 3.31%, 0.00%, 1.00%, 1.22%, 0.00%, 0.00%, 18, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
3036, 16998, 4.47%, 1.15%, 6.07%, 10.34%, 5.69%, 4.05%, 152, 0.00%, 0.00%, 0.00%, 58.80%, 1.21%, 1.06%, 256, 11.43%, 0.00%, 88.57%
3037, 16025, 3.15%, 0.00%, 0.00%, 1.12%, 2.14%, 0.00%, 10, 0.00%, 0.00%, 0.00%, 23.00%, 0.00%, 0.00%, 224, 0.00%, 0.00%, 100.00%
3038, 16004, 4.54%, 1.01%, 4.06%, 4.01%, 2.03%, 2.00%, 72, 0.00%, 1.04%, 0.00%, 37.06%, 2.21%, 2.20%, 512, 11.10%, 0.00%, 88.90%
3039, 19717, 3.95%, 0.00%, 2.37%, 1.00%, 1.18%, 1.21%, 60, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 24, -1.#J%, -1.#J%, -1.#J%
3040, 30944, 7.05%, 2.07%, 2.10%, 2.00%, 1.02%, 1.03%, 52, 3.07%, 2.12%, 48.66%, 74.84%, 6.76%, 6.60%, 4328, 0.00%, 0.00%, 100.00%
3041, 18008, 3.53%, 0.00%, 1.05%, 1.02%, 0.00%, 0.00%, 18, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
3042, 21678, 6.48%, 1.00%, 8.08%, 6.03%, 3.02%, 3.13%, 152, 2.05%, 1.02%, 0.00%, 43.28%, 1.23%, 1.16%, 528, 8.79%, 0.00%, 91.21%
3043, 12426, 3.33%, 1.08%, 19.04%, 21.74%, 12.31%, 9.00%, 186, 1.02%, 0.00%, 0.00%, 21.32%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
3044, 4861, 3.39%, 0.00%, 2.03%, 2.06%, 6.27%, 1.02%, 6, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
3045, 8831, 5.65%, 2.00%, 45.15%, 45.16%, 14.00%, 23.15%, 512, 0.00%, 0.00%, 37.69%, 52.04%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
3046, 6421, 4.12%, 1.24%, 20.83%, 20.77%, 9.90%, 11.06%, 68, 0.00%, 0.00%, 0.00%, 59.97%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
3047, 4648, 3.50%, 0.00%, 7.15%, 7.08%, 3.08%, 3.06%, 34, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
3048, 4493, 3.47%, 0.00%, 1.04%, 1.00%, 5.16%, 0.00%, 2, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
3049, 4655, 3.41%, 0.00%, 4.05%, 4.00%, 3.09%, 2.11%, 28, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
3050, 21555, 4.46%, 1.01%, 28.27%, 27.08%, 17.00%, 15.12%, 895, 0.00%, 0.00%, 5.36%, 61.41%, 0.00%, 0.00%, 544, 72.84%, 0.00%, 27.16%
3051, 8942, 5.65%, 2.01%, 45.00%, 45.57%, 15.17%, 23.38%, 512, 0.00%, 0.00%, 41.97%, 50.41%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
3052, 5236, 3.43%, 1.01%, 18.45%, 17.11%, 8.10%, 9.01%, 68, 0.00%, 0.00%, 1.09%, 0.00%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
3053, 4669, 3.44%, 0.00%, 7.17%, 7.30%, 4.00%, 3.10%, 34, 0.00%, 0.00%, 0.00%, 55.92%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
3054, 4460, 2.26%, 0.00%, 1.00%, 1.02%, 4.00%, 0.00%, 2, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
3055, 4991, 2.21%, 0.00%, 4.00%, 4.15%, 3.13%, 2.04%, 28, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
3056, 16993, 4.49%, 2.01%, 36.79%, 35.06%, 21.01%, 19.00%, 895, 0.00%, 0.00%, 5.38%, 56.63%, 0.00%, 0.00%, 640, 78.25%, 0.00%, 21.75%
3057, 19807, 5.84%, 1.07%, 0.00%, 0.00%, 1.10%, 0.00%, 12, 0.00%, 1.10%, 0.00%, 40.13%, 3.51%, 3.36%, 1456, 0.00%, 0.00%, 100.00%
3058, 17683, 3.34%, 0.00%, 0.00%, 0.00%, 1.22%, 0.00%, 6, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
3059, 21743, 5.09%, 1.36%, 6.91%, 7.88%, 3.88%, 3.99%, 76, 1.00%, 0.00%, 0.00%, 76.09%, 1.38%, 1.38%, 232, 0.00%, 0.00%, 100.00%
3060, 18079, 7.28%, 4.35%, 35.73%, 38.16%, 26.39%, 23.02%, 850, 2.17%, 2.16%, 5.76%, 61.75%, 1.15%, 1.00%, 4424, 47.78%, 0.00%, 52.22%
3061, 18403, 5.65%, 4.09%, 61.07%, 60.19%, 41.00%, 31.55%, 1249, 1.02%, 1.02%, 62.21%, 62.70%, 0.00%, 0.00%, 352, 100.00%, 0.00%, 0.00%
3062, 5315, 4.47%, 1.01%, 20.04%, 20.29%, 12.15%, 10.00%, 117, 0.00%, 0.00%, 0.00%, 46.13%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
3063, 4598, 3.43%, 0.00%, 7.22%, 7.06%, 4.07%, 3.05%, 28, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
3064, 4568, 3.36%, 0.00%, 2.00%, 2.03%, 7.11%, 1.04%, 8, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
3065, 7697, 4.54%, 2.03%, 37.42%, 39.11%, 25.28%, 19.40%, 372, 0.00%, 0.00%, 40.19%, 40.38%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
3066, 18539, 5.61%, 3.12%, 23.11%, 22.30%, 8.63%, 13.06%, 512, 0.00%, 2.00%, 18.60%, 85.20%, 5.74%, 5.32%, 1632, 10.52%, 0.00%, 89.48%
3067, 8075, 3.22%, 0.00%, 16.91%, 13.13%, 11.74%, 11.82%, 68, 0.00%, 0.00%, 0.00%, 55.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
3068, 14406, 3.36%, 0.00%, 2.03%, 2.00%, 1.02%, 1.00%, 34, 0.00%, 0.00%, 0.00%, 30.17%, 1.08%, 1.07%, 656, 21.77%, 0.00%, 78.23%
3069, 7630, 5.94%, 0.00%, 1.76%, 1.73%, 6.99%, 0.00%, 2, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
3070, 14821, 3.41%, 0.00%, 1.02%, 1.00%, 1.01%, 0.00%, 28, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
3071, 23950, 9.52%, 4.26%, 23.02%, 25.28%, 13.38%, 14.73%, 895, 3.04%, 3.00%, 30.42%, 62.59%, 5.36%, 5.42%, 2808, 13.33%, 0.00%, 86.67%
3072, 17225, 3.35%, 0.00%, 1.00%, 1.24%, 2.45%, 0.00%, 10, 0.00%, 0.00%, 0.00%, 53.71%, 0.00%, 0.00%, 128, 0.00%, 0.00%, 100.00%
3073, 22810, 4.15%, 0.00%, 0.00%, 0.00%, 2.46%, 0.00%, 4, 0.00%, 0.00%, 0.00%, 13.00%, 1.33%, 1.13%, 864, 0.00%, 0.00%, 100.00%
3074, 23006, 6.10%, 2.08%, 3.28%, 3.00%, 1.11%, 1.05%, 54, 1.12%, 2.15%, 1.13%, 53.88%, 8.24%, 7.94%, 6024, 3.37%, 0.00%, 96.63%
3075, 42862, 8.62%, 4.16%, 7.00%, 7.31%, 5.17%, 3.02%, 234, 2.03%, 4.06%, 56.95%, 79.36%, 8.83%, 8.89%, 15344, 1.46%, 0.00%, 98.54%
3076, 19883, 4.64%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 8, 0.00%, 0.00%, 0.00%, 53.31%, 3.29%, 3.14%, 1664, 4.26%, 0.00%, 95.74%
3077, 20900, 5.63%, 2.26%, 7.96%, 7.94%, 4.42%, 4.87%, 136, 0.00%, 1.00%, 0.00%, 66.60%, 2.32%, 2.13%, 1456, 8.04%, 0.00%, 91.96%
3078, 16946, 3.46%, 0.00%, 2.41%, 1.04%, 1.02%, 1.06%, 24, 0.00%, 0.00%, 0.00%, 22.85%, 0.00%, 0.00%, 120, 25.58%, 0.00%, 74.42%
3079, 21405, 8.21%, 4.19%, 3.09%, 3.14%, 1.03%, 1.05%, 120, 44.60%, 4.00%, 54.89%, 86.24%, 13.21%, 13.08%, 6008, 1.75%, 0.00%, 98.25%
3080, 26658, 8.17%, 3.11%, 2.00%, 2.09%, 1.14%, 0.00%, 120, 42.23%, 3.24%, 45.92%, 97.02%, 11.68%, 12.40%, 6552, 1.55%, 0.00%, 98.45%
3081, 23813, 5.72%, 3.09%, 19.99%, 18.00%, 1.06%, 9.18%, 343, 1.03%, 2.05%, 40.94%, 59.61%, 3.30%, 3.19%, 3952, 10.01%, 0.00%, 89.99%
3082, 24504, 6.21%, 1.15%, 2.29%, 2.31%, 1.00%, 1.14%, 72, 0.00%, 1.15%, 2.44%, 48.36%, 4.91%, 4.44%, 1920, 0.00%, 0.00%, 100.00%
3083, 7562, 3.28%, 0.00%, 6.16%, 4.33%, 11.39%, 2.26%, 22, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
3084, 16434, 4.96%, 1.18%, 2.23%, 2.00%, 1.11%, 1.12%, 26, 0.00%, 0.00%, 0.00%, 46.23%, 3.08%, 3.34%, 1552, 0.00%, 0.00%, 100.00%
3085, 25490, 9.30%, 5.37%, 44.78%, 36.81%, 21.00%, 21.87%, 738, 1.04%, 3.27%, 71.82%, 85.66%, 7.36%, 8.04%, 4208, 12.84%, 0.00%, 87.16%
3086, 47637, 12.13%, 4.28%, 9.57%, 9.00%, 0.00%, 5.35%, 446, 3.31%, 4.29%, 63.47%, 90.93%, 13.92%, 14.38%, 21264, 3.14%, 0.00%, 96.86%
3087, 9236, 3.14%, 0.00%, 13.47%, 13.00%, 8.24%, 7.48%, 98, 0.00%, 0.00%, 1.14%, 28.82%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
3088, 10385, 3.63%, 0.00%, 2.36%, 2.04%, 1.12%, 1.07%, 18, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 208, 100.00%, 0.00%, 0.00%
3089, 8720, 3.40%, 0.00%, 0.00%, 1.97%, 2.07%, 0.00%, 2, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
3090, 18022, 4.81%, 1.19%, 1.06%, 1.05%, 1.03%, 0.00%, 22, 0.00%, 0.00%, 0.00%, 44.83%, 4.57%, 4.47%, 2088, 0.00%, 0.00%, 100.00%
3091, 25828, 10.32%, 6.09%, 45.11%, 43.71%, 27.00%, 22.47%, 890, 1.01%, 3.07%, 48.06%, 89.13%, 7.78%, 7.48%, 4344, 11.70%, 0.00%, 88.30%
3092, 33089, 9.03%, 3.00%, 8.26%, 10.49%, 6.16%, 5.25%, 279, 2.06%, 3.06%, 39.68%, 92.04%, 11.09%, 11.12%, 10680, 3.24%, 0.00%, 96.76%
3093, 18259, 2.88%, 0.00%, 0.00%, 0.00%, 1.03%, 0.00%, 5, 0.00%, 0.00%, 0.00%, 44.95%, 1.08%, 1.09%, 864, 0.00%, 0.00%, 100.00%
3094, 33852, 8.11%, 3.02%, 8.26%, 8.21%, 6.16%, 4.06%, 295, 3.00%, 3.06%, 45.14%, 78.37%, 10.72%, 10.90%, 9520, 3.36%, 0.00%, 96.64%
3095, 18901, 3.40%, 1.01%, 5.25%, 5.00%, 3.55%, 2.04%, 77, 1.17%, 0.00%, 0.00%, 48.01%, 1.11%, 1.08%, 1696, 0.00%, 0.00%, 100.00%
3096, 16985, 2.54%, 0.00%, 1.12%, 1.02%, 0.00%, 1.14%, 20, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
3097, 17893, 1.11%, 0.00%, 0.00%, 0.00%, 1.00%, 0.00%, 6, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
3098, 12042, 3.38%, 2.11%, 18.00%, 17.10%, 11.37%, 9.34%, 254, 1.09%, 1.00%, 1.07%, 22.59%, 0.00%, 0.00%, 344, 100.00%, 0.00%, 0.00%
3099, 7617, 3.35%, 0.00%, 5.05%, 5.00%, 4.04%, 2.05%, 62, 0.00%, 0.00%, 1.08%, 32.46%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
3100, 22475, 9.18%, 5.24%, 17.82%, 18.63%, 5.00%, 9.30%, 403, 5.25%, 3.07%, 22.40%, 68.56%, 6.73%, 6.39%, 12808, 7.97%, 0.00%, 92.03%
3101, 18617, 4.46%, 0.00%, 3.16%, 2.00%, 1.04%, 1.19%, 44, 1.01%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 2016, 100.00%, 0.00%, 0.00%
3102, 10632, 3.64%, 0.00%, 4.08%, 4.20%, 1.05%, 2.14%, 36, 0.00%, 0.00%, 1.16%, 21.72%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
3103, 33957, 6.88%, 5.13%, 72.45%, 68.66%, 45.43%, 34.47%, 1799, 3.01%, 1.00%, 85.69%, 77.19%, 0.00%, 0.00%, 480, 77.30%, 0.00%, 22.70%
3104, 7537, 3.35%, 0.00%, 0.00%, 0.00%, 4.01%, 0.00%, 2, 0.00%, 0.00%, 0.00%, 30.22%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
3105, 4866, 3.39%, 0.00%, 1.00%, 1.04%, 4.06%, 0.00%, 4, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
3106, 14457, 3.41%, 0.00%, 6.09%, 6.08%, 3.02%, 3.00%, 108, 0.00%, 0.00%, 0.00%, 25.89%, 0.00%, 0.00%, 72, 37.88%, 0.00%, 62.12%
3107, 8104, 3.52%, 0.00%, 10.13%, 9.00%, 5.21%, 5.28%, 116, 0.00%, 0.00%, 1.12%, 33.78%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
3108, 13016, 4.49%, 3.00%, 43.05%, 43.59%, 27.12%, 22.03%, 432, 1.01%, 1.01%, 41.65%, 39.86%, 0.00%, 0.00%, 448, 100.00%, 0.00%, 0.00%
3109, 5406, 3.39%, 1.00%, 14.24%, 14.15%, 6.15%, 7.02%, 56, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
3110, 4452, 3.40%, 0.00%, 1.01%, 1.00%, 5.06%, 0.00%, 2, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
3111, 4776, 3.49%, 0.00%, 2.07%, 2.04%, 3.00%, 1.02%, 4, 0.00%, 0.00%, 1.11%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
3112, 18326, 3.37%, 0.00%, 3.00%, 3.05%, 1.00%, 1.01%, 62, 0.00%, 0.00%, 0.00%, 46.49%, 1.08%, 1.07%, 792, 0.00%, 0.00%, 100.00%
3113, 15464, 3.39%, 0.00%, 2.02%, 2.02%, 1.00%, 1.00%, 24, 0.00%, 0.00%, 0.00%, 31.04%, 1.07%, 1.08%, 592, 7.49%, 0.00%, 92.51%
3114, 14828, 4.56%, 2.00%, 18.19%, 17.04%, 11.14%, 9.13%, 222, 1.00%, 1.01%, 1.08%, 20.60%, 0.00%, 0.00%, 32, 100.00%, 0.00%, 0.00%
3115, 27464, 8.44%, 4.00%, 11.03%, 12.81%, 8.28%, 6.63%, 363, 2.12%, 3.17%, 40.48%, 79.20%, 7.76%, 7.80%, 9400, 5.18%, 0.00%, 94.82%
3116, 16007, 5.02%, 1.12%, 1.11%, 1.13%, 2.22%, 0.00%, 22, 0.00%, 1.13%, 0.00%, 42.00%, 2.38%, 2.38%, 1440, 0.00%, 0.00%, 100.00%
3117, 9401, 4.30%, 0.00%, 1.42%, 1.45%, 2.86%, 0.00%, 8, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
3118, 19647, 5.67%, 3.15%, 18.01%, 19.49%, 7.01%, 9.00%, 297, 1.02%, 1.01%, 30.66%, 59.77%, 3.45%, 3.63%, 1440, 12.46%, 0.00%, 87.54%
3119, 16106, 4.51%, 0.00%, 5.06%, 5.00%, 2.02%, 2.03%, 64, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
3120, 18248, 4.36%, 1.00%, 13.05%, 8.07%, 5.00%, 8.97%, 256, 1.00%, 0.00%, 1.38%, 55.85%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
3121, 12256, 3.37%, 0.00%, 2.01%, 2.09%, 1.00%, 2.03%, 44, 0.00%, 0.00%, 1.07%, 61.46%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
3122, 13168, 3.35%, 0.00%, 1.00%, 1.00%, 2.01%, 0.00%, 21, 0.00%, 0.00%, 0.00%, 92.17%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
3123, 13163, 3.53%, 0.00%, 5.24%, 5.14%, 3.06%, 4.15%, 79, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
3124, 24691, 3.36%, 0.00%, 5.00%, 6.15%, 4.11%, 4.01%, 246, 4.33%, 0.00%, 8.51%, 66.06%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
3125, 11751, 3.50%, 0.00%, 3.11%, 3.03%, 2.02%, 2.03%, 74, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
3126, 12800, 3.35%, 0.00%, 10.06%, 10.12%, 7.00%, 9.09%, 250, 0.00%, 0.00%, 1.07%, 57.13%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
3127, 14875, 3.36%, 1.07%, 6.00%, 6.37%, 4.28%, 5.02%, 163, 0.00%, 0.00%, 0.00%, 90.96%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
3128, 52517, 11.14%, 5.07%, 12.23%, 13.46%, 7.00%, 7.21%, 751, 3.06%, 4.07%, 68.18%, 92.42%, 14.98%, 15.41%, 19208, 3.21%, 0.00%, 96.79%
3129, 20462, 4.43%, 1.03%, 5.17%, 5.00%, 2.03%, 2.01%, 106, 2.04%, 1.02%, 0.00%, 48.78%, 4.34%, 4.32%, 2112, 5.66%, 0.00%, 94.34%
3130, 19562, 5.54%, 1.23%, 3.06%, 3.08%, 1.02%, 1.00%, 48, 1.15%, 1.19%, 0.00%, 52.51%, 3.28%, 3.22%, 1272, 0.00%, 0.00%, 100.00%
3131, 14235, 3.34%, 0.00%, 1.00%, 1.01%, 1.01%, 0.00%, 20, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
3132, 14380, 3.37%, 1.00%, 10.04%, 10.03%, 6.03%, 5.00%, 132, 0.00%, 0.00%, 0.00%, 47.02%, 1.06%, 1.06%, 592, 20.10%, 0.00%, 79.90%
3133, 17529, 5.78%, 1.04%, 3.10%, 3.15%, 1.05%, 1.00%, 52, 0.00%, 1.04%, 0.00%, 31.23%, 1.13%, 1.10%, 592, 11.18%, 0.00%, 88.82%
3134, 14151, 3.39%, 0.00%, 1.01%, 1.01%, 1.01%, 0.00%, 18, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
3135, 14189, 4.48%, 1.01%, 9.05%, 9.00%, 5.05%, 4.03%, 152, 0.00%, 0.00%, 0.00%, 48.34%, 0.00%, 0.00%, 40, 18.21%, 0.00%, 81.79%
3136, 8263, 3.45%, 1.00%, 13.34%, 13.00%, 7.07%, 6.12%, 158, 0.00%, 0.00%, 2.19%, 30.22%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
3137, 5513, 3.39%, 1.00%, 14.02%, 14.22%, 8.06%, 7.02%, 114, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
3138, 25369, 4.49%, 1.14%, 4.01%, 5.42%, 3.00%, 2.02%, 194, 1.10%, 0.00%, 10.71%, 40.11%, 0.00%, 0.00%, 584, 38.72%, 0.00%, 61.28%
