Draw Call #, GPU Time (ns), Frame Buffer Bottleneck, Frame Buffer Utilized, Geometry Unit Bottleneck, Geometry Unit Utilized, Input Assembly Bottleneck, Input Assembly Utilized, Primitive Count, Raster Operations Bottleneck, Raster Operations Utilized, Shader Bottleneck, Shader Utilized, Texture Bottleneck, Texture Utilized, Shaded Pixel Count, Vertex Instruction %, Geometry Instruction %, Pixel Instruction %
255, 2194, 3.42%, 4.04%, 6.15%, 4.00%, 18.43%, 3.02%, 40, 1.01%, 0.00%, 1.12%, 0.00%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
256, 5560, 2.29%, 2.07%, 3.08%, 2.01%, 6.15%, 1.04%, 50, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
257, 1936, 3.41%, 6.03%, 8.21%, 6.09%, 23.39%, 4.00%, 50, 0.00%, 0.00%, 0.00%, 34.54%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
258, 2187, 4.75%, 10.82%, 13.00%, 10.51%, 20.35%, 6.23%, 85, 0.00%, 0.00%, 1.14%, 25.77%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
259, 7692, 9.01%, 26.01%, 33.70%, 24.06%, 39.06%, 16.08%, 783, 2.02%, 0.00%, 4.31%, 34.15%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
260, 6112, 8.04%, 23.50%, 30.31%, 22.33%, 29.67%, 15.00%, 574, 2.02%, 0.00%, 5.48%, 31.53%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
261, 5566, 14.51%, 51.95%, 65.04%, 48.36%, 69.40%, 31.00%, 1066, 0.00%, 0.00%, 2.22%, 68.36%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
262, 5714, 14.47%, 53.71%, 66.48%, 50.35%, 71.00%, 34.16%, 1199, 1.01%, 0.00%, 2.13%, 72.05%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
263, 2272, 3.49%, 2.09%, 3.10%, 3.11%, 8.00%, 3.10%, 20, 0.00%, 0.00%, 2.18%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
264, 2187, 3.41%, 1.02%, 1.00%, 2.07%, 7.08%, 2.08%, 12, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
265, 2137, 5.67%, 6.05%, 10.00%, 10.35%, 14.00%, 11.42%, 58, 0.00%, 0.00%, 0.00%, 36.41%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
266, 7372, 6.91%, 3.04%, 2.04%, 2.06%, 2.03%, 3.00%, 64, 3.06%, 1.02%, 1.10%, 11.77%, 1.10%, 1.10%, 2064, 15.25%, 0.00%, 84.75%
267, 2295, 3.51%, 7.32%, 7.22%, 7.34%, 10.00%, 6.44%, 83, 1.06%, 0.00%, 1.10%, 31.95%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
268, 5965, 3.51%, 6.15%, 6.24%, 5.19%, 11.27%, 4.18%, 143, 3.12%, 1.00%, 1.11%, 11.05%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
269, 2501, 8.01%, 20.32%, 28.37%, 20.92%, 47.11%, 14.18%, 211, 0.00%, 0.00%, 1.12%, 29.85%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
270, 5810, 5.51%, 13.17%, 13.05%, 10.11%, 20.00%, 8.17%, 277, 3.05%, 3.02%, 2.09%, 26.55%, 0.00%, 0.00%, 1816, 35.61%, 0.00%, 64.39%
